株式番号,会社名,株価,PER,PBR,配当利回り,1株益(EPS),予想配当年,予想配当額
2914,2914ＪＴ,3803円,14.6倍,1.72倍,4.94％,261.4,I  予 2023.12  ,188
4502,4502武田薬品工業,4197円,70.8倍,0.93倍,4.48％,59.3,I  予 2024.03  ,188
5020,5020ＥＮＥＯＳ,588.9円,7.4倍,0.57倍,3.74％,79.6,I  予 2024.03  ,22.0
8306,8306三菱ＵＦＪ,1290.0円,11.9倍,0.84倍,3.18％,108.1,　 予 2024.03  ,41.0
8593,8593三菱ＨＣキャピタル,970.3円,11.6倍,0.84倍,3.81％,83.7,　 予 2024.03  ,37.0
8766,8766東京海上,3677円,12.6倍,1.69倍,3.29％,291.1,　 予 2024.03  ,121
9432,9432日本電信電話,173.3円,11.7倍,1.58倍,2.89％,14.8,I  予 2024.03  ,5.0
9433,9433ＫＤＤＩ,4610円,14.2倍,1.87倍,3.04％,325.0,I  予 2024.03  ,140
7164,7164全国保証,4989円,11.6倍,1.65倍,3.41％,428.7,連 予 2024.03  ,170
8566,8566リコーリース,4680円,10.0倍,0.66倍,3.21％,467.2,　 予 2024.03  ,150
8058,8058三菱商事,7040円,10.3倍,1.11倍,2.98％,684.8,I  予 2024.03  ,210
5021,5021コスモＨＤ,5832円,6.5倍,0.91倍,5.14％,890.5,　 予 2024.03  ,300
